Name,Total,White,Black,Hispanic,Asian,Other,p_White,p_Black,p_Hispanic,p_Asian,p_Other,entropy5,entropy4,entropy_rice,gini_simpson
"Abbeville, LA Micro Area",57999,46305,8246,1381,1148,919,0.798375834066,0.142174865084,0.0238107553579,0.0197934447146,0.0158451007776,0.428363696218,0.44566220423,0.428363696218,0.341172535575
"Aberdeen, SD Micro Area",40602,37774,192,554,358,1724,0.930348258706,0.00472883109206,0.0136446480469,0.00881729964041,0.0424609625142,0.203138190184,0.113942226795,0.203138190184,0.132362901147
"Aberdeen, WA Micro Area",72797,59282,762,6272,995,5486,0.814346745058,0.0104674643186,0.086157396596,0.0136681456653,0.0753602483619,0.422324258564,0.321741871074,0.422324258564,0.323440728777
"Abilene, TX Metro Area",165252,112735,11549,35108,2110,3750,0.682200517997,0.0698872025755,0.21245128652,0.0127683779924,0.0226926149154,0.57009967342,0.597267300445,0.57009967342,0.483904696769
"Ada, OK Micro Area",37492,25973,879,1523,244,8873,0.692761122373,0.0234450016003,0.0406219993599,0.00650805505174,0.236663821615,0.525798161124,0.282586729649,0.525798161124,0.461830093155
"Adrian, MI Micro Area",99892,87483,2397,7614,492,1906,0.875775837905,0.0239959155888,0.0762223201057,0.00492531934489,0.0190806070556,0.312894794691,0.300877109886,0.312894794691,0.226242707358
"Akron, OH Metro Area",703200,579151,83984,10733,14124,15208,0.823593572241,0.119431171786,0.0152630830489,0.0200853242321,0.0216268486917,0.396953351642,0.394132459163,0.396953351642,0.306325720431
"Alamogordo, NM Micro Area",63797,33716,2048,22026,716,5291,0.528488800414,0.0321018229697,0.345251344107,0.0112230982648,0.0829349342446,0.665741293573,0.617931235688,0.665741293573,0.593466408939
"Albany, GA Metro Area",157308,68820,81671,3270,1455,2092,0.437485696849,0.519178935591,0.0207872454039,0.00924937066138,0.0132987514939,0.548816230943,0.594084881757,0.548816230943,0.53836498067
"Albany-Lebanon, OR Micro Area",116672,101579,456,9127,1078,4432,0.870637342293,0.00390839275919,0.078227852441,0.00923957761931,0.0379868348875,0.316341238104,0.260670598215,0.316341238104,0.234327376354
"Albany-Schenectady-Troy, NY Metro Area",870716,721505,62963,36027,26983,23238,0.828634135585,0.0723117526266,0.0413762926144,0.030989438577,0.0266883805971,0.423664821186,0.414161869375,0.423664821186,0.304751867223
"Albemarle, NC Micro Area",60585,49877,6590,2166,1108,844,0.823256581662,0.108772798547,0.0357514236197,0.0182883552034,0.0139308409672,0.405877678517,0.42419430662,0.405877678517,0.308610382489
"Albert Lea, MN Micro Area",31255,27701,200,2750,232,372,0.886290193569,0.00639897616381,0.0879859222524,0.00742281235002,0.0119020956647,0.274816995926,0.275757584967,0.274816995926,0.206510465348
"Albertville, AL Micro Area",93019,78060,1389,11238,475,1857,0.83918339264,0.0149324331588,0.120814027242,0.00510648362163,0.0199636633376,0.354368113512,0.347732415164,0.354368113512,0.28052760275
"Albuquerque, NM Metro Area",887077,374214,19766,414222,16769,62106,0.421850639798,0.0222821694171,0.466951572411,0.0189036577434,0.0700119606302,0.662122125726,0.629810079451,0.662122125726,0.598242748743
"Alexander City, AL Micro Area",53155,36442,14606,1272,211,624,0.685579907817,0.274781299972,0.023930015991,0.00396952309284,0.0117392531276,0.482904674187,0.520690226729,0.482904674187,0.453749214341
